timestamp,raw,weight_g,force_N,pressure_adc,pressure_v,scale,offset
2025-11-06T16:23:40.808804,601810,0.059,0.00058,782,3.8221,761.654602,601822.0
2025-11-06T16:23:40.808804,601810,0.059,0.00058,782,3.8221,761.654602,601822.0
2025-11-06T16:23:41.083388,601840,0.003,3e-05,782,3.8221,761.654602,601815.0
2025-11-06T16:23:41.152558,601772,0.047,0.00046,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.171988,601766,0.109,0.00107,782,3.8221,761.654602,601815.0
2025-11-06T16:23:41.220503,601814,-0.193,-0.00189,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.262509,601873,0.252,0.00247,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.316031,601873,-0.014,-0.00014,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.342031,601919,-0.118,-0.00116,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.386556,601824,0.028,0.00027,782,3.8221,761.654602,601815.0
2025-11-06T16:23:41.431553,601848,-0.05,-0.00049,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.485077,601746,-0.011,-0.0001,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.523078,601654,-0.138,-0.00135,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.580620,601995,0.131,0.00129,782,3.8221,761.654602,601815.0
2025-11-06T16:23:41.616616,601890,0.014,0.00014,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.661614,601870,-0.039,-0.00039,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.692929,601641,-0.156,-0.00153,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.776933,601903,0.03,0.0003,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.802455,601855,-0.075,-0.00073,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.831450,601796,-0.041,-0.0004,783,3.827,761.654602,601815.0
2025-11-06T16:23:41.882979,601711,-0.112,-0.00109,782,3.8221,761.654602,601815.0
2025-11-06T16:23:41.923982,601748,0.001,1e-05,783,3.827,761.654602,601815.0
